##Instituição;Cod.IBGE;UF;População;"01 - Legislativa";"02 - Judiciária";"03 - Essencial à Justiça";"04 - Administração";"05 - Defesa Nacional";"06 - Segurança Pública";"07 - Relações Exteriores";"08 - Assistência Social";"09 - Previdência Social";"10 - Saúde";"11 - Trabalho";"12 - Educação";"13 - Cultura";"14 - Direitos da Cidadania";"15 - Urbanismo";"16 - Habitação";"17 - Saneamento";"18 - Gestão Ambiental";"19 - Ciência e Tecnologia";"20 - Agricultura";"21 - Organização Agrária";"22 - Indústria";"23 - Comércio e Serviços";"24 - Comunicações";"25 - Energia";"26 - Transporte";"27 - Desporto e Lazer";"28 - Encargos Especiais";"Despesas (Exceto Intraorçamentárias)";"Despesas (Intraorçamentárias)";lof_relativo_med
Prefeitura Municipal de São João da Paraúna - GO; 5220058; GO; 1623; 3.12% / 693156.30 / 468752.14; 1.16% / 83254.60 / 0.00; 0.01% / 0 / 364.50; 12.68% / 2664090.31 / 1752888.15; 0.00% / 0 / 0.00; 0.15% / 18709.25 / 7613.70; 0.00% / 0 / 0.00; 0.80% / 557402.40 / 500129.19; 2.14% / 0 / 153569.77; 7.98% / 2946139.07 / 2372303.28; 1.70% / 122174.35 / 0.00; 1.89% / 2334743.79 / 2470622.93; 1.09% / 0 / 78586.21; 0.00% / 0 / 0.00; 5.33% / 970093.40 / 587070.79; 6.07% / 470148.17 / 33645.48; 0.03% / 31932.20 / 33966.82; 0.65% / 0 / 46943.69; 0.00% / 0 / 0.00; 3.50% / 292156.43 / 543468.61; 0.00% / 0 / 0.00; 1.80% / 130000.00 / 790.00; 2.22% / 161552.10 / 1829.74; 0.01% / 0 / 686.66; 0.61% / 57476.90 / 13768.61; 2.31% / 848348.58 / 682033.14; 4.07% / 379673.70 / 87188.85; 2.14% / 0 / 153600.57; 38.55% / 12761051.55 / 9989822.82; 0.00% / 0 / 0.00; 2.02
Prefeitura Municipal de Lagoa dos Três Cantos - RS; 4311270; RS; 1649; 2.46% / 328439.09 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 1.82% / 1649196.83 / 1752888.15; 0.00% / 0 / 0.00; 0.13% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.77% / 399377.08 / 500129.19; 5.19% / 449116.20 / 153569.77; 1.43% / 2290994.24 / 2372303.28; 0.00% / 0 / 0.00; 15.39% / 1594007.11 / 2470622.93; 2.24% / 206318.35 / 78586.21; 0.00% / 0 / 0.00; 0.40% / 610026.85 / 587070.79; 0.59% / 0 / 33645.48; 0.60% / 0 / 33966.82; 0.66% / 84546.56 / 46943.69; 0.00% / 0 / 0.00; 10.67% / 1151323.22 / 543468.61; 0.00% / 0 / 0.00; 0.29% / 17187.00 / 790.00; 3.04% / 174938.77 / 1829.74; 0.01% / 0 / 686.66; 1.73% / 112176.63 / 13768.61; 17.91% / 1701846.10 / 682033.14; 0.33% / 105909.44 / 87188.85; 2.21% / 279324.93 / 153600.57; 20.46% / 11154728.40 / 9989822.82; 10.65% / 606470.60 / 0.00; 1.53
Prefeitura Municipal de Trabiju - SP; 3554755; SP; 1650; 11.99% / 6020.69 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 2.02% / 1674853.16 / 1752888.15; 0.00% / 0 / 0.00; 0.20% / 0 / 7613.70; 0.00% / 0 / 0.00; 2.66% / 397339.49 / 500129.19; 3.98% / 0 / 153569.77; 6.38% / 2126012.49 / 2372303.28; 0.00% / 0 / 0.00; 4.61% / 2648634.58 / 2470622.93; 10.27% / 474937.99 / 78586.21; 0.00% / 0 / 0.00; 23.86% / 1507975.91 / 587070.79; 0.87% / 0 / 33645.48; 2.17% / 117617.93 / 33966.82; 1.22% / 0 / 46943.69; 0.00% / 0 / 0.00; 1.86% / 471539.40 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.36% / 0 / 13768.61; 17.67% / 0 / 682033.14; 5.66% / 305792.06 / 87188.85; 0.70% / 126499.62 / 153600.57; 3.44% / 9857223.32 / 9989822.82; 0.00% / 0 / 0.00; 1.81
Prefeitura Municipal de Fernão - SP; 3515657; SP; 1658; 2.31% / 552337.49 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 6.69% / 1511002.01 / 1752888.15; 0.00% / 0 / 0.00; 0.21% / 0 / 7613.70; 0.00% / 0 / 0.00; 6.67% / 741187.30 / 500129.19; 7.70% / 431713.36 / 153569.77; 4.80% / 2545893.17 / 2372303.28; 0.00% / 0 / 0.00; 15.30% / 1917466.23 / 2470622.93; 2.17% / 0 / 78586.21; 0.00% / 0 / 0.00; 19.85% / 1304733.79 / 587070.79; 0.93% / 0 / 33645.48; 0.94% / 0 / 33966.82; 0.60% / 68662.19 / 46943.69; 0.00% / 0 / 0.00; 3.57% / 414306.72 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.38% / 0 / 13768.61; 3.17% / 567400.44 / 682033.14; 1.36% / 38112.50 / 87188.85; 4.25% / 0 / 153600.57; 2.85% / 10092815.20 / 9989822.82; 16.13% / 583053.13 / 0.00; 1.56
Prefeitura Municipal de Flora Rica - SP; 3515806; SP; 1666; 1.77% / 579184.00 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 32.89% / 3806212.76 / 1752888.15; 0.00% / 0 / 0.00; 0.12% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.50% / 593656.73 / 500129.19; 2.46% / 0 / 153569.77; 5.71% / 2015588.53 / 2372303.28; 0.00% / 0 / 0.00; 10.07% / 1841884.06 / 2470622.93; 1.25% / 300.00 / 78586.21; 0.00% / 0 / 0.00; 12.32% / 1356190.67 / 587070.79; 0.54% / 0 / 33645.48; 0.54% / 0 / 33966.82; 0.75% / 0 / 46943.69; 0.00% / 0 / 0.00; 6.42% / 142383.72 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.22% / 0 / 13768.61; 10.92% / 0 / 682033.14; 1.53% / 182567.00 / 87188.85; 2.46% / 0 / 153600.57; 8.46% / 10517967.47 / 9989822.82; 0.00% / 0 / 0.00; 1.51
Prefeitura Municipal de Presidente Castello Branco - SC; 4213906; SC; 1670; 1.73% / 373431.35 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 0.49% / 1725874.25 / 1752888.15; 0.00% / 0 / 0.00; 0.05% / 4769.67 / 7613.70; 0.00% / 0 / 0.00; 1.24% / 431422.78 / 500129.19; 2.78% / 0 / 153569.77; 4.86% / 2104098.53 / 2372303.28; 0.00% / 0 / 0.00; 9.59% / 1941152.88 / 2470622.93; 0.53% / 108034.74 / 78586.21; 0.18% / 9703.18 / 0.00; 0.08% / 582755.27 / 587070.79; 1.87% / 137032.29 / 33645.48; 0.62% / 0 / 33966.82; 0.66% / 10651.50 / 46943.69; 0.00% / 0 / 0.00; 22.64% / 1793549.67 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 4.60% / 256056.17 / 1829.74; 0.01% / 0 / 686.66; 0.25% / 0 / 13768.61; 20.18% / 1796107.10 / 682033.14; 0.52% / 58540.79 / 87188.85; 2.78% / 0 / 153600.57; 24.33% / 11333180.17 / 9989822.82; 0.00% / 0 / 0.00; 1.59
Prefeitura Municipal de Jardinópolis - SC; 4208955; SC; 1697; 4.68% / 267348.84 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 6.93% / 1454747.43 / 1752888.15; 0.00% / 0 / 0.00; 0.10% / 12109.86 / 7613.70; 0.00% / 0 / 0.00; 1.58% / 568103.65 / 500129.19; 3.57% / 0 / 153569.77; 5.37% / 2141445.10 / 2372303.28; 0.00% / 0 / 0.00; 12.31% / 1941316.95 / 2470622.93; 0.39% / 95210.64 / 78586.21; 0.00% / 0 / 0.00; 6.77% / 878248.81 / 587070.79; 0.18% / 41500.00 / 33645.48; 1.48% / 97770.28 / 33966.82; 1.09% / 0 / 46943.69; 0.00% / 0 / 0.00; 15.12% / 1193749.77 / 543468.61; 0.00% / 0 / 0.00; 6.25% / 269827.83 / 790.00; 0.04% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.32% / 0 / 13768.61; 9.64% / 1096874.20 / 682033.14; 2.59% / 198494.81 / 87188.85; 5.89% / 406908.65 / 153600.57; 15.67% / 10663656.82 / 9989822.82; 0.00% / 0 / 0.00; 1.55
Prefeitura Municipal de Linha Nova - RS; 4311643; RS; 1697; 3.38% / 163961.24 / 468752.14; 0.00% / 0 / 0.00; 0.00% / 0 / 364.50; 18.19% / 3394505.47 / 1752888.15; 0.00% / 0 / 0.00; 0.08% / 0 / 7613.70; 0.00% / 0 / 0.00; 4.83% / 63791.57 / 500129.19; 1.44% / 23941.01 / 153569.77; 9.29% / 1534098.88 / 2372303.28; 0.00% / 0 / 0.00; 13.22% / 1277073.54 / 2470622.93; 1.65% / 227356.67 / 78586.21; 0.00% / 0 / 0.00; 6.50% / 0 / 587070.79; 0.37% / 0 / 33645.48; 0.93% / 117728.01 / 33966.82; 1.65% / 196043.06 / 46943.69; 0.00% / 0 / 0.00; 2.31% / 335093.05 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.02% / 0 / 1829.74; 0.00% / 302.00 / 686.66; 0.59% / 66873.99 / 13768.61; 5.87% / 152264.61 / 682033.14; 0.97% / 0 / 87188.85; 1.70% / 0 / 153600.57; 27.00% / 7553033.10 / 9989822.82; 0.00% / 0 / 0.00; 1.88
Prefeitura Municipal de Gentil - RS; 4308854; RS; 1714; 2.39% / 358564.47 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 3.66% / 1921480.34 / 1752888.15; 0.00% / 0 / 0.00; 0.24% / 18515.91 / 7613.70; 0.00% / 0 / 0.00; 0.93% / 457436.42 / 500129.19; 3.33% / 0 / 153569.77; 2.77% / 2244605.12 / 2372303.28; 0.00% / 0 / 0.00; 1.78% / 2552705.29 / 2470622.93; 0.91% / 36572.67 / 78586.21; 0.00% / 0 / 0.00; 10.85% / 86920.44 / 587070.79; 0.14% / 27155.89 / 33645.48; 6.95% / 354005.69 / 33966.82; 1.91% / 134938.37 / 46943.69; 0.00% / 0 / 0.00; 16.81% / 1318166.64 / 543468.61; 0.00% / 0 / 0.00; 3.49% / 161755.16 / 790.00; 0.00% / 2000.00 / 1829.74; 0.01% / 965.06 / 686.66; 1.23% / 70455.89 / 13768.61; 6.11% / 963507.19 / 682033.14; 6.43% / 383270.81 / 87188.85; 1.39% / 217423.14 / 153600.57; 28.66% / 11310444.50 / 9989822.82; 0.00% / 0 / 0.00; 1.54
Prefeitura Municipal de Moiporá - GO; 5213400; GO; 1724; 2.60% / 610498.41 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 10.91% / 2346703.25 / 1752888.15; 0.00% / 0 / 0.00; 0.14% / 0 / 7613.70; 0.00% / 0 / 0.00; 6.82% / 128819.11 / 500129.19; 8.21% / 600276.56 / 153569.77; 5.77% / 2058331.36 / 2372303.28; 0.00% / 0 / 0.00; 25.10% / 1104810.90 / 2470622.93; 1.14% / 16610.00 / 78586.21; 0.95% / 51904.01 / 0.00; 1.47% / 667277.60 / 587070.79; 0.62% / 0 / 33645.48; 0.62% / 0 / 33966.82; 0.50% / 74025.60 / 46943.69; 0.00% / 0 / 0.00; 7.60% / 129732.33 / 543468.61; 0.00% / 0 / 0.00; 0.67% / 37096.10 / 790.00; 0.03% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.25% / 0 / 13768.61; 0.62% / 648275.59 / 682033.14; 1.25% / 155305.10 / 87188.85; 1.26% / 85116.98 / 153600.57; 23.43% / 8714782.90 / 9989822.82; 0.00% / 0 / 0.00; 1.60
Prefeitura Municipal de Ponte Preta - RS; 4314787; RS; 1743; 2.93% / 319338.04 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 4.14% / 1541833.28 / 1752888.15; 0.00% / 0 / 0.00; 0.15% / 0 / 7613.70; 0.00% / 0 / 0.00; 0.84% / 457360.26 / 500129.19; 3.02% / 0 / 153569.77; 13.91% / 1663855.63 / 2372303.28; 0.00% / 0 / 0.00; 15.17% / 1698153.71 / 2470622.93; 0.16% / 86732.58 / 78586.21; 0.00% / 0 / 0.00; 5.64% / 300030.13 / 587070.79; 0.62% / 2000.00 / 33645.48; 0.40% / 54589.95 / 33966.82; 0.30% / 62466.73 / 46943.69; 0.00% / 0 / 0.00; 8.88% / 995749.02 / 543468.61; 0.00% / 0 / 0.00; 12.11% / 617620.05 / 790.00; 0.47% / 26020.00 / 1829.74; 0.14% / 7801.00 / 686.66; 0.27% / 0 / 13768.61; 11.67% / 1276235.11 / 682033.14; 0.66% / 53778.05 / 87188.85; 2.65% / 18736.40 / 153600.57; 15.86% / 9182299.94 / 9989822.82; 0.00% / 0 / 0.00; 2.79
Prefeitura Municipal de Nicolau Vergueiro - RS; 4312674; RS; 1760; 1.50% / 381049.18 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.03% / 2046856.41 / 1752888.15; 0.00% / 0 / 0.00; 0.03% / 6000.00 / 7613.70; 0.00% / 0 / 0.00; 0.78% / 454605.21 / 500129.19; 1.42% / 70649.33 / 153569.77; 1.03% / 2312121.21 / 2372303.28; 0.18% / 10553.89 / 0.00; 9.83% / 1895638.15 / 2470622.93; 0.15% / 69812.67 / 78586.21; 0.00% / 0 / 0.00; 8.45% / 92738.88 / 587070.79; 0.58% / 0 / 33645.48; 8.28% / 518066.41 / 33966.82; 0.35% / 26308.58 / 46943.69; 0.90% / 52875.00 / 0.00; 3.32% / 737522.77 / 543468.61; 0.00% / 0 / 0.00; 0.15% / 9403.27 / 790.00; 0.03% / 0 / 1829.74; 0.22% / 13685.51 / 686.66; 1.54% / 103657.92 / 13768.61; 23.56% / 2059351.18 / 682033.14; 1.09% / 23423.78 / 87188.85; 6.82% / 552624.66 / 153600.57; 24.75% / 11436944.01 / 9989822.82; 0.00% / 0 / 0.00; 2.24
Prefeitura Municipal de Passabém - MG; 3147501; MG; 1764; 1.74% / 559722.20 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 13.99% / 1021074.35 / 1752888.15; 0.05% / 2738.40 / 0.00; 0.20% / 18269.09 / 7613.70; 0.00% / 0 / 0.00; 2.99% / 343930.91 / 500129.19; 4.70% / 399438.01 / 153569.77; 5.89% / 2680174.07 / 2372303.28; 0.00% / 0 / 0.00; 21.56% / 1343134.58 / 2470622.93; 9.03% / 550735.50 / 78586.21; 0.00% / 0 / 0.00; 9.60% / 1088965.23 / 587070.79; 2.31% / 154238.50 / 33645.48; 0.85% / 78683.25 / 33966.82; 0.90% / 0 / 46943.69; 0.00% / 0 / 0.00; 9.57% / 43132.98 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.01% / 0 / 686.66; 0.26% / 0 / 13768.61; 0.78% / 723079.66 / 682033.14; 0.58% / 117443.24 / 87188.85; 0.67% / 118584.23 / 153600.57; 14.27% / 9243344.20 / 9989822.82; 0.00% / 0 / 0.00; 1.64
Prefeitura Municipal de Porto Vera Cruz - RS; 4315073; RS; 1764; 1.75% / 386567.04 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 15.42% / 2478751.87 / 1752888.15; 0.00% / 0 / 0.00; 0.76% / 43239.76 / 7613.70; 0.00% / 0 / 0.00; 2.21% / 396346.68 / 500129.19; 15.58% / 886822.41 / 153569.77; 12.89% / 1765750.98 / 2372303.28; 0.00% / 0 / 0.00; 18.40% / 1604948.25 / 2470622.93; 1.47% / 9252.20 / 78586.21; 0.00% / 0 / 0.00; 9.84% / 124054.06 / 587070.79; 0.71% / 0 / 33645.48; 3.22% / 185570.78 / 33966.82; 1.00% / 0 / 46943.69; 0.00% / 0 / 0.00; 0.25% / 555373.25 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 1.02% / 49771.26 / 1829.74; 0.03% / 2172.15 / 686.66; 0.65% / 44525.41 / 13768.61; 4.93% / 913995.20 / 682033.14; 1.71% / 6583.00 / 87188.85; 7.41% / 502114.93 / 153600.57; 0.72% / 9955839.23 / 9989822.82; 0.00% / 0 / 0.00; 1.51
Prefeitura Municipal de Capão Bonito do Sul - RS; 4304622; RS; 1776; 7.54% / 0 / 468752.14; 0.00% / 0 / 0.00; 1.00% / 62331.60 / 364.50; 12.59% / 2534966.57 / 1752888.15; 0.00% / 0 / 0.00; 0.12% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.86% / 384540.20 / 500129.19; 2.47% / 0 / 153569.77; 6.68% / 2787347.35 / 2372303.28; 0.00% / 0 / 0.00; 9.67% / 3071459.44 / 2470622.93; 1.11% / 9690.00 / 78586.21; 0.00% / 0 / 0.00; 7.98% / 91525.50 / 587070.79; 0.54% / 0 / 33645.48; 0.29% / 16000.00 / 33966.82; 5.39% / 381523.17 / 46943.69; 0.00% / 0 / 0.00; 5.62% / 194160.01 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.23% / 14870.00 / 686.66; 0.22% / 0 / 13768.61; 14.45% / 1579823.74 / 682033.14; 1.37% / 2278.00 / 87188.85; 0.16% / 143730.45 / 153600.57; 20.67% / 11274246.03 / 9989822.82; 0.00% / 0 / 0.00; 1.97
Prefeitura Municipal de Consolação - MG; 3118502; MG; 1801; 0.03% / 467439.44 / 468752.14; 0.70% / 34973.55 / 0.00; 0.01% / 0 / 364.50; 10.55% / 1229495.62 / 1752888.15; 0.00% / 0 / 0.00; 0.28% / 21493.02 / 7613.70; 0.00% / 0 / 0.00; 4.56% / 273857.74 / 500129.19; 7.85% / 543108.37 / 153569.77; 5.67% / 2091174.95 / 2372303.28; 0.00% / 0 / 0.00; 16.57% / 1648633.74 / 2470622.93; 4.55% / 304403.17 / 78586.21; 0.00% / 0 / 0.00; 4.62% / 816085.07 / 587070.79; 0.15% / 40974.44 / 33645.48; 5.49% / 306182.94 / 33966.82; 0.95% / 0 / 46943.69; 0.00% / 0 / 0.00; 9.24% / 85146.14 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.84% / 43499.47 / 1829.74; 0.01% / 0 / 686.66; 2.22% / 123818.06 / 13768.61; 0.86% / 724539.39 / 682033.14; 0.71% / 51751.02 / 87188.85; 1.70% / 69322.78 / 153600.57; 22.45% / 8875898.91 / 9989822.82; 0.00% / 0 / 0.00; 1.57
Prefeitura Municipal de Mato Queimado - RS; 4312179; RS; 1808; 0.14% / 463499.62 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 7.53% / 1466826.32 / 1752888.15; 0.00% / 0 / 0.00; 0.20% / 0 / 7613.70; 0.00% / 0 / 0.00; 7.77% / 204589.28 / 500129.19; 4.04% / 0 / 153569.77; 1.34% / 2321185.98 / 2372303.28; 0.00% / 0 / 0.00; 2.52% / 2566508.25 / 2470622.93; 2.84% / 186376.49 / 78586.21; 0.00% / 0 / 0.00; 14.16% / 1125247.59 / 587070.79; 12.50% / 508989.11 / 33645.48; 2.61% / 133268.53 / 33966.82; 1.05% / 86695.63 / 46943.69; 0.00% / 0 / 0.00; 12.60% / 1022518.13 / 543468.61; 0.00% / 0 / 0.00; 1.72% / 66233.30 / 790.00; 0.05% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.36% / 0 / 13768.61; 17.14% / 30428.50 / 682033.14; 2.29% / 0 / 87188.85; 3.11% / 35343.32 / 153600.57; 5.99% / 10217710.05 / 9989822.82; 0.00% / 0 / 0.00; 1.80
Prefeitura Municipal de Pedro Teixeira - MG; 3149408; MG; 1840; 0.55% / 443633.17 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 15.80% / 1028682.06 / 1752888.15; 0.00% / 0 / 0.00; 0.30% / 21187.90 / 7613.70; 0.00% / 0 / 0.00; 2.79% / 372271.95 / 500129.19; 8.18% / 528340.70 / 153569.77; 8.05% / 2741341.13 / 2372303.28; 0.00% / 0 / 0.00; 18.55% / 1620601.55 / 2470622.93; 7.03% / 400902.35 / 78586.21; 0.00% / 0 / 0.00; 6.55% / 287076.54 / 587070.79; 0.34% / 17931.25 / 33645.48; 4.78% / 253121.13 / 33966.82; 1.02% / 0 / 46943.69; 0.00% / 0 / 0.00; 1.18% / 597526.88 / 543468.61; 0.00% / 0 / 0.00; 0.05% / 2896.00 / 790.00; 0.04% / 0 / 1829.74; 1.05% / 48796.28 / 686.66; 2.54% / 129964.52 / 13768.61; 2.20% / 581334.39 / 682033.14; 1.04% / 39410.92 / 87188.85; 1.11% / 102767.88 / 153600.57; 16.85% / 9217786.60 / 9989822.82; 0.00% / 0 / 0.00; 1.73
Prefeitura Municipal de Alto Alegre - RS; 4300554; RS; 1841; 2.68% / 340126.35 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 5.56% / 1486095.99 / 1752888.15; 0.00% / 0 / 0.00; 1.49% / 78922.16 / 7613.70; 0.00% / 0 / 0.00; 2.01% / 403775.71 / 500129.19; 5.45% / 414919.41 / 153569.77; 7.03% / 2034823.39 / 2372303.28; 0.00% / 0 / 0.00; 22.91% / 1371509.28 / 2470622.93; 0.87% / 37016.89 / 78586.21; 0.00% / 0 / 0.00; 3.98% / 395929.00 / 587070.79; 2.85% / 170222.92 / 33645.48; 0.83% / 73928.46 / 33966.82; 1.46% / 117103.73 / 46943.69; 0.00% / 0 / 0.00; 0.12% / 537794.87 / 543468.61; 0.00% / 0 / 0.00; 0.89% / 43480.95 / 790.00; 0.74% / 37500.00 / 1829.74; 1.02% / 49824.55 / 686.66; 1.01% / 62279.70 / 13768.61; 12.72% / 1292475.48 / 682033.14; 2.07% / 186629.23 / 87188.85; 0.89% / 110684.06 / 153600.57; 15.52% / 9245042.13 / 9989822.82; 7.86% / 377293.74 / 0.00; 1.55
Prefeitura Municipal de Ipueiras - TO; 1709807; TO; 1843; 0.99% / 401738.89 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 9.46% / 1112956.41 / 1752888.15; 0.00% / 0 / 0.00; 0.01% / 6935.04 / 7613.70; 0.00% / 0 / 0.00; 1.97% / 366885.42 / 500129.19; 2.81% / 343691.14 / 153569.77; 12.53% / 1524277.80 / 2372303.28; 0.91% / 61684.12 / 0.00; 4.88% / 2140198.48 / 2470622.93; 0.22% / 93243.90 / 78586.21; 0.00% / 0 / 0.00; 1.99% / 452159.64 / 587070.79; 0.50% / 0 / 33645.48; 0.50% / 0 / 33966.82; 0.16% / 58100.56 / 46943.69; 0.00% / 0 / 0.00; 4.82% / 217509.44 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 8.19% / 555992.97 / 1829.74; 0.11% / 8449.75 / 686.66; 0.20% / 0 / 13768.61; 9.86% / 14989.40 / 682033.14; 0.44% / 117002.00 / 87188.85; 2.27% / 0 / 153600.57; 37.15% / 7475814.96 / 9989822.82; 0.00% / 0 / 0.00; 1.88
Prefeitura Municipal de Quixabá - PB; 2512606; PB; 1868; 13.02% / 0 / 468752.14; 0.43% / 15316.80 / 0.00; 0.01% / 0 / 364.50; 1.31% / 1800055.64 / 1752888.15; 0.00% / 0 / 0.00; 0.21% / 0 / 7613.70; 0.00% / 0 / 0.00; 2.23% / 580501.59 / 500129.19; 2.04% / 79976.56 / 153569.77; 4.77% / 2200441.14 / 2372303.28; 0.00% / 0 / 0.00; 2.35% / 2555066.59 / 2470622.93; 7.76% / 357783.00 / 78586.21; 0.00% / 0 / 0.00; 17.84% / 1229442.21 / 587070.79; 0.18% / 40000.00 / 33645.48; 0.94% / 0 / 33966.82; 1.30% / 0 / 46943.69; 0.00% / 0 / 0.00; 7.01% / 291080.39 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.05% / 0 / 1829.74; 2.75% / 99591.40 / 686.66; 0.38% / 0 / 13768.61; 17.06% / 67755.78 / 682033.14; 2.28% / 4994.00 / 87188.85; 0.88% / 121948.85 / 153600.57; 15.16% / 9443953.95 / 9989822.82; 0.00% / 0 / 0.00; 2.00
Prefeitura Municipal de Coxixola - PB; 2504850; PB; 1874; 0.85% / 521496.25 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 8.47% / 1227840.04 / 1752888.15; 0.00% / 0 / 0.00; 0.12% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.48% / 408649.84 / 500129.19; 2.48% / 0 / 153569.77; 7.35% / 1916658.97 / 2372303.28; 0.00% / 0 / 0.00; 11.96% / 1729097.66 / 2470622.93; 1.01% / 16103.70 / 78586.21; 0.00% / 0 / 0.00; 9.50% / 1176130.03 / 587070.79; 0.54% / 0 / 33645.48; 0.55% / 0 / 33966.82; 0.76% / 0 / 46943.69; 0.00% / 0 / 0.00; 3.78% / 308918.90 / 543468.61; 0.00% / 0 / 0.00; 0.01% / 0 / 790.00; 0.03% / 0 / 1829.74; 0.21% / 13622.78 / 686.66; 3.21% / 213015.32 / 13768.61; 10.30% / 43100.00 / 682033.14; 3.88% / 327661.06 / 87188.85; 1.16% / 81558.83 / 153600.57; 32.35% / 7983853.38 / 9989822.82; 0.00% / 0 / 0.00; 1.94
Prefeitura Municipal de São João de Iracema - SP; 3549250; SP; 1875; 0.50% / 491279.80 / 468752.14; 0.00% / 0 / 0.00; 0.01% / 0 / 364.50; 2.67% / 1874200.77 / 1752888.15; 0.00% / 0 / 0.00; 0.17% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.69% / 423383.60 / 500129.19; 8.80% / 553557.59 / 153569.77; 0.45% / 2392671.64 / 2372303.28; 0.00% / 0 / 0.00; 7.24% / 2141646.37 / 2470622.93; 1.73% / 0 / 78586.21; 0.00% / 0 / 0.00; 4.55% / 793846.89 / 587070.79; 4.87% / 254853.33 / 33645.48; 3.99% / 215327.11 / 33966.82; 5.69% / 305750.00 / 46943.69; 0.00% / 0 / 0.00; 0.99% / 498490.52 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.04% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.30% / 0 / 13768.61; 2.57% / 798785.00 / 682033.14; 3.78% / 259151.48 / 87188.85; 2.32% / 259037.27 / 153600.57; 27.99% / 11261981.37 / 9989822.82; 19.63% / 892416.67 / 0.00; 1.74
Prefeitura Municipal de Esperança Nova - PR; 4107520; PR; 1922; 11.14% / 0 / 468752.14; 2.32% / 97447.58 / 0.00; 0.01% / 0 / 364.50; 0.67% / 1724779.95 / 1752888.15; 0.00% / 0 / 0.00; 0.18% / 0 / 7613.70; 0.00% / 0 / 0.00; 1.32% / 555758.23 / 500129.19; 3.65% / 0 / 153569.77; 4.32% / 2190654.34 / 2372303.28; 0.00% / 0 / 0.00; 19.56% / 1647377.72 / 2470622.93; 1.87% / 0 / 78586.21; 0.00% / 0 / 0.00; 4.03% / 756512.83 / 587070.79; 0.80% / 0 / 33645.48; 0.81% / 0 / 33966.82; 5.50% / 278179.20 / 46943.69; 0.00% / 0 / 0.00; 4.39% / 728377.17 / 543468.61; 0.00% / 0 / 0.00; 0.02% / 0 / 790.00; 0.04% / 0 / 1829.74; 0.02% / 0 / 686.66; 0.33% / 0 / 13768.61; 3.35% / 541078.61 / 682033.14; 0.52% / 108900.31 / 87188.85; 0.22% / 162745.27 / 153600.57; 28.47% / 8791811.21 / 9989822.82; 6.49% / 273020.28 / 0.00; 1.79
